sample_index,pad_x_m,pad_y_m,pad_z_m,tibia_x_m,tibia_y_m,tibia_z_m,distance_to_silicone_surface_m,silicone_winding,classification,occupied_visual_indices,uncertain_visual_indices,aabb_hits,distance_lower_bound_to_other_cad_solids_m
776,0.1947441529482603,0.004187500104308128,0.016124530462548137,-0.11093052775365624,0.1608595158374794,-0.022448073826822436,0.0025625000707805157,-1.5461029701558764e-17,occupied,[2],[],1,0.0
796,0.19494986161589622,0.004187500104308128,0.01614855695515871,-0.11105377839194244,0.16102595684296114,-0.022448085825734442,0.0025625000707805157,1.1043592643970545e-17,occupied,[2],[],1,0.0
798,0.19498160667717457,-0.002187499776482582,0.016127182636409998,-0.11105136697045723,0.16106435114738765,-0.016073087147073156,0.0025625000707805157,8.834874115176436e-18,occupied,[2],[],1,0.0
812,0.19505374878644943,0.0010000001639127731,0.01614962425082922,-0.11110658552013593,0.16111563347627286,-0.0192605916591522,0.005750000011175871,-1.3252311172764653e-17,occupied,[2],[],1,0.0
816,0.19515557028353214,0.004187500104308128,0.016172583447769284,-0.11117702903022866,0.16119239784844291,-0.02244809782464645,0.0025625000707805157,3.3130777931911635e-17,occupied,[2],[],1,0.0
831,0.19525945745408535,0.0010000001639127731,0.016173650743439794,-0.11122983615842214,0.16128207448175463,-0.019260603658064205,0.005750000011175871,6.6261555863823264e-18,occupied,[2],[],1,0.0
836,0.19536127895116806,0.004187500104308128,0.016196609940379858,-0.11130027966851488,0.16135883885392466,-0.02244810982355845,0.0025625000707805157,-2.4295903816735198e-17,occupied,[2],[],1,0.0
837,0.19536334462463856,-0.002187499776482582,0.016174718039110303,-0.1112826432866156,0.1613717511150663,-0.01607310949148196,0.0025625000707805157,-1.766974823035287e-17,occupied,[2],[],1,0.0
851,0.19546516612172127,0.0010000001639127731,0.016197677236050367,-0.11135308679670836,0.16144851548723635,-0.019260615656976208,0.005750000011175871,2.208718528794109e-18,occupied,[2],[],1,0.0
856,0.19556698761880398,0.004187500104308128,0.016220636432990432,-0.1114235303068011,0.1615252798594064,-0.022448121822470454,0.0025625000707805157,-3.092205940311753e-17,occupied,[2],[],1,0.0
857,0.19556905329227448,-0.002187499776482582,0.016198744531720877,-0.11140589392490181,0.16153819212054804,-0.016073121490393964,0.0025625000707805157,-3.533949646070574e-17,occupied,[2],[],1,0.0
862,0.19567087478935719,0.0010000001639127731,0.01622170372866094,-0.11147633743499459,0.16161495649271812,-0.019260627655888214,0.005750000011175871,1.766974823035287e-17,occupied,[2],[],1,0.0
866,0.1957726962864399,0.004187500104308128,0.016244662925601006,-0.11154678094508733,0.16169172086488814,-0.02244813382138246,0.0025625000707805157,-2.6504622345529306e-17,occupied,[2],[],1,0.0
867,0.1957747619599104,-0.002187499776482582,0.01622277102433145,-0.11152914456318805,0.1617046331260298,-0.01607313348930597,0.0025625000707805157,1.766974823035287e-17,occupied,[2],[],1,0.0
870,0.1958765834569931,0.0010000001639127731,0.016245730221271515,-0.1115995880732808,0.16178139749819986,-0.019260639654800217,0.005750000011175871,4.417437057588218e-18,occupied,[2],[],1,0.0
